feature,normal_mean,abuse_mean,normal_median,abuse_median,normal_std,abuse_std,mean_difference,absolute_difference,standardized_difference,relative_shift,signal_strength
refund_rate_30D,0.061905264639639634,0.24996843434343433,0.0,0.0,0.20793140257589396,0.3907320958489686,0.1880631697037947,0.1880631697037947,0.6008882742598761,3.03791883935139,0.6008882742598761
historical_refunds_v2,0.2039695945945946,0.6556818181818181,0.0,0.0,0.5621802725500872,0.9906755062042923,0.4517122235872235,0.4517122235872235,0.560822891159797,2.214605684170901,0.560822891159797
refunds_last_30D,0.1097339527027027,0.39886363636363636,0.0,0.0,0.3546517141919299,0.6447375192306634,0.28912968366093367,0.28912968366093367,0.5556774360665543,2.634824286738853,0.5556774360665543
refund_rate_7D,0.06248592342342342,0.246875,0.0,0.0,0.23273223024767623,0.41990119899218825,0.1843890765765766,0.1843890765765766,0.5431656939274979,2.950889840054067,0.5431656939274979
refunds_last_7D,0.07383868243243243,0.2799242424242424,0.0,0.0,0.2695427019522455,0.48004356915456736,0.20608555999181,0.20608555999181,0.5293867965655777,2.791024341210215,0.5293867965655777
refunds_last_24H,0.06444256756756757,0.25113636363636366,0.0,0.0,0.246743236561881,0.43549268719710604,0.1866937960687961,0.1866937960687961,0.5274845251103781,2.8970570713689985,0.5274845251103781
refund_acceleration,0.09928620026276276,0.31877104377104376,0.0,0.0,0.3958567753573654,0.5738892200729045,0.219484843508281,0.219484843508281,0.4452238528634512,2.210627891161212,0.4452238528634512
hours_since_previous_refund,201.80037126970723,481.7250063131313,0.0,0.0,610.3829998569548,811.0264788912625,279.9246350434241,279.9246350434241,0.3900027416578528,1.3871363728528694,0.3900027416578528
customer_avg_refund_amount,188.19163819034168,719.4825236737483,0.0,0.0,1344.383901923323,2409.1941553705387,531.2908854834067,531.2908854834067,0.2723389917128675,2.82313757716507,0.2723389917128675
orders_last_24H,0.8198057432432433,0.8825757575757576,1.0,1.0,0.43796823469183255,0.37826436200980684,0.06277001433251428,0.06277001433251428,0.1533944284704158,0.07656693655766435,0.1533944284704158
orders_last_7D,0.9461993243243243,1.0143939393939394,1.0,1.0,0.6127738523580377,0.5538295593999221,0.0681946150696151,0.0681946150696151,0.11676244563196611,0.07207214517756341,0.11676244563196611
orders_last_30D,1.39296875,1.5022727272727272,1.0,1.0,1.0566969428838457,1.0167200836746144,0.10930397727272712,0.10930397727272712,0.10541407250374732,0.07846836282057806,0.10541407250374732
historical_orders,2.4900337837837836,2.690909090909091,2.0,2.0,2.145971148291938,2.1320362471992973,0.20087530712530732,0.20087530712530732,0.09391018897213058,0.08067171957003048,0.09391018897213058
hours_since_previous_order,527.0804596002251,570.0476893939393,322.4,378.0083333333333,614.4292541660208,614.9902925032155,42.96722979371418,42.96722979371418,0.06989839300369226,0.08151929939938117,0.06989839300369226
refund_vs_customer_avg,0.2867319142644032,0.7837808118839462,0.0,0.0,7.212600836037045,10.436397515666116,0.497048897619543,0.497048897619543,0.05540922923326689,1.7334969457261074,0.05540922923326689
customer_avg_order_amount,3253.0417789095472,3622.955301847721,1855.875,2072.2961666666665,7721.665699230161,6335.527698924405,369.9135229381736,369.9135229381736,0.05237576571062061,0.11371311777685573,0.05237576571062061
amount_vs_customer_avg,2.0921680603472192,2.318737933740683,0.4355920410428026,0.5112317544351279,10.365600387127355,9.576286896113098,0.2265698733934638,0.2265698733934638,0.022705233743869943,0.10829429895601309,0.022705233743869943
